gamma,seed,status,mode,theta_deg,steps,min_clearance_m,time_to_goal_s,mean_feasible_fraction
0.5,46,COLLISION,none,,41,-0.0013733280362048794,,0.6012766768292683
0.5,47,COLLISION,none,,38,-0.014630402273991483,,0.6528577302631579
0.5,48,COLLISION,none,,38,-0.008498617450350188,,0.6357935855263158
0.5,49,SUCCESS,below,-90.40784219737041,77,0.033565750866500266,7.7,0.635551948051948
0.5,50,COLLISION,none,,38,-0.02218797827233765,,0.6319387335526315
0.5,51,COLLISION,none,,36,-0.010319591214989488,,0.6634657118055556
0.5,52,COLLISION,none,,39,-0.016955348246434243,,0.6155348557692307
0.5,53,COLLISION,none,,38,-0.021696449400782858,,0.6324013157894737
0.5,54,COLLISION,none,,36,-0.011077207623674978,,0.6602105034722222
0.5,55,COLLISION,none,,36,-0.007706982800243123,,0.6666666666666666
0.5,56,COLLISION,none,,37,-0.00053359551332266,,0.6536106418918919
0.5,57,SUCCESS,above,108.07710741898882,81,0.030921324756982782,8.1,0.8049527391975309
0.5,58,COLLISION,none,,37,-0.022842785242599917,,0.6486486486486487
0.5,59,COLLISION,none,,40,-0.0006417833290311425,,0.6068359375
0.5,60,COLLISION,none,,36,-0.011054533917072118,,0.6666666666666666
0.5,61,COLLISION,none,,37,-0.013642696941630561,,0.6501266891891891
0.5,62,COLLISION,none,,37,-0.006573851892476779,,0.6520798141891891
0.5,63,COLLISION,none,,38,-0.011099760654187496,,0.6333264802631579
1.0,0,COLLISION,none,,36,-0.019735769361753253,,0.6944444444444444
1.0,1,COLLISION,none,,36,-0.013168877338018803,,0.6944444444444444
1.0,2,COLLISION,none,,36,-0.044455431666708733,,0.6944444444444444
1.0,3,COLLISION,none,,36,-0.015929079767020293,,0.6716037326388888
1.0,4,COLLISION,none,,36,-0.02709481088720872,,0.6758355034722222
1.0,5,COLLISION,none,,36,-0.012172057459630292,,0.6944444444444444
1.0,6,COLLISION,none,,36,-0.02834332593627381,,0.6944444444444444
1.0,7,COLLISION,none,,36,-0.016812856482838145,,0.6798502604166666
1.0,8,COLLISION,none,,37,-0.017299164647597787,,0.6613175675675675
1.0,9,COLLISION,none,,37,-0.0062829935619997945,,0.7028610641891891
1.0,10,COLLISION,none,,37,-0.025392388256517573,,0.7027027027027027
1.0,11,COLLISION,none,,36,-0.004646108338479005,,0.6944444444444444
1.0,12,COLLISION,none,,36,-0.013776236546737208,,0.6944444444444444
1.0,13,COLLISION,none,,36,-0.030386363838965535,,0.6944444444444444
1.0,14,COLLISION,none,,38,-0.014658901729776519,,0.6568153782894737
