gamma,seed,file,reference_success,reference_reached,reference_collision,reference_taskspace_violation,plant_success,plant_reached,plant_collision,plant_taskspace_violation,plant_true_soft_geofence_violation,plant_measured_soft_geofence_violation,plant_true_hard_geofence_violation,plant_measured_hard_geofence_violation,raw_action_cap_fraction,reference_speed_cap_fraction,reference_vertical_speed_cap_fraction,applied_action_cap_fraction,clearance_erosion_m,reference_min_clearance_m,plant_min_clearance_m,minimum_true_soft_geofence_margin_m,minimum_measured_soft_geofence_margin_m,minimum_true_hard_geofence_margin_m,minimum_measured_hard_geofence_margin_m,raw_reference_tracking_rmse_m,raw_reference_tracking_max_error_m,command_tracking_rmse_m,command_tracking_max_error_m,reference_command_rmse_m,command_clip_fraction,current_state_position_weight,peak_reference_speed_mps,peak_plant_speed_mps,peak_abs_plant_vertical_speed_mps,max_abs_applied_acceleration_mps2,time_to_goal_s
0.3,70,run_g0.3_s70.npz,True,True,False,False,False,True,True,False,False,False,False,False,0.6133333333333333,0.2826666666666667,0.0,0.0,0.20370741609524487,0.051389424820164786,-0.15231799127508008,0.004303967952728249,0.001907384395599343,0.15430396795272827,0.15190738439559937,0.2865769863128662,0.5053066611289978,0.2865769863128662,0.5053066611289978,0.0,0.0,0.0,0.7000060081481934,0.9232612252235413,0.24917319416999817,0.2995081841945648,8.086737377916695
0.3,72,run_g0.3_s72.npz,True,True,False,False,False,True,True,False,False,False,False,False,0.7215189873417721,0.21772151898734177,0.0,0.0,0.2339159649274006,0.05371183819377007,-0.18020412673363054,0.017777627706527688,0.01736689209938047,0.1677776277065277,0.1673668920993805,0.20349468290805817,0.36461952328681946,0.20349468290805817,0.36461952328681946,0.0,0.0,0.0,0.7000061869621277,0.8451532125473022,0.29709967970848083,0.29967746138572693,8.458126051715315
0.3,73,run_g0.3_s73.npz,True,True,False,False,False,True,True,True,True,True,False,False,0.6375,0.2475,0.0,0.0,0.22732187399222187,0.030709694893110817,-0.19661217909911105,-0.019525969028472923,-0.021867269277572654,0.1304740309715271,0.12813273072242737,0.2053527981042862,0.376459538936615,0.2053527981042862,0.376459538936615,0.0,0.0,0.0,0.700004518032074,0.8884878754615784,0.30571457743644714,0.29795825481414795,8.489085442557277
0.3,76,run_g0.3_s76.npz,True,True,False,False,False,True,True,False,False,False,False,False,0.6533333333333333,0.31066666666666665,0.0,0.0,0.18282388136213654,0.04633789251095538,-0.13648598885118116,0.0038320779800414817,0.0026844501495361106,0.1538320779800415,0.15268445014953613,0.2269437462091446,0.38298752903938293,0.2269437462091446,0.38298752903938293,0.0,0.0,0.0,0.700004518032074,0.8604058623313904,0.2516021132469177,0.29990237951278687,7.8851055093311775
0.3,77,run_g0.3_s77.npz,True,True,False,False,False,True,True,True,True,True,False,False,0.6533333333333333,0.30533333333333335,0.0,0.0,0.21674608660831896,0.11844650946225249,-0.09829957714606646,-0.021690094470977805,-0.023161286115646385,0.12830990552902222,0.12683871388435364,0.24709974229335785,0.4080231189727783,0.24709974229335785,0.4080231189727783,0.0,0.0,0.0,0.7000070810317993,0.8799112439155579,0.30243077874183655,0.2997649312019348,7.873096811962495
0.3,79,run_g0.3_s79.npz,True,True,False,False,False,True,True,False,False,False,False,False,0.68,0.25733333333333336,0.0,0.0,0.17204733865154848,0.08003933377813433,-0.09200800487341415,0.010603314638137795,0.007030075788497903,0.16060331463813782,0.15703007578849792,0.24218210577964783,0.4179999828338623,0.24218210577964783,0.4179999828338623,0.0,0.0,0.0,0.7000048160552979,0.8807389736175537,0.29032281041145325,0.2997858226299286,7.946814867060946
0.3,80,run_g0.3_s80.npz,True,True,False,False,False,True,True,False,False,False,False,False,0.6363636363636364,0.2961038961038961,0.0,0.0,0.22491545042073988,0.045463952736694624,-0.17945149768404525,0.03368822336196897,0.031224435567855813,0.183688223361969,0.18122443556785583,0.24976126849651337,0.4542100727558136,0.24976126849651337,0.4542100727558136,0.0,0.0,0.0,0.7000064849853516,0.9029783606529236,0.2421301007270813,0.29996857047080994,8.243680173654486
0.3,83,run_g0.3_s83.npz,True,True,False,False,False,True,True,False,False,False,False,False,0.7236842105263158,0.2868421052631579,0.0,0.0,0.16003278207737148,0.10101787571600335,-0.059014906361368136,0.0028573036193847434,0.002230948209762551,0.15285730361938477,0.15223094820976257,0.21325138211250305,0.3568231463432312,0.21325138211250305,0.3568231463432312,0.0,0.0,0.0,0.7000067234039307,0.8889575600624084,0.2477819323539734,0.29902181029319763,8.06374448613083
0.3,86,run_g0.3_s86.npz,True,True,False,False,False,True,True,False,False,False,False,False,0.6538461538461539,0.3038461538461538,0.0,0.0,0.17739885166902652,0.041480179154935015,-0.1359186725140915,0.0749888479709625,0.07015357017517088,0.22498884797096252,0.2201535701751709,0.20862078666687012,0.35919931530952454,0.20862078666687012,0.35919931530952454,0.0,0.0,0.0,0.7000062465667725,0.9269682765007019,0.21749818325042725,0.2999512553215027,8.211387241405845
0.3,88,run_g0.3_s88.npz,True,True,False,False,False,True,True,False,False,False,False,False,0.6666666666666666,0.28933333333333333,0.0,0.0,0.18909898673392772,0.060502997787012736,-0.12859598894691499,0.05480197668075559,0.053082233667373635,0.20480197668075562,0.20308223366737366,0.24579203128814697,0.4086112976074219,0.24579203128814697,0.4086112976074219,0.0,0.0,0.0,0.7000057101249695,0.8845672607421875,0.2460443526506424,0.2997667193412781,7.895395890117185
0.3,89,run_g0.3_s89.npz,True,True,False,False,False,True,True,False,False,True,False,False,0.6666666666666666,0.24871794871794872,0.0,0.0,0.21109228236878155,0.05744826774192008,-0.15364401462686147,0.002147918939590432,-0.0010242104530334695,0.15214791893959045,0.14897578954696655,0.23255673050880432,0.434667706489563,0.23255673050880432,0.434667706489563,0.0,0.0,0.0,0.700006365776062,0.8870106935501099,0.2820800840854645,0.29992422461509705,8.35959461344325
0.5,4,run_g0.5_s4.npz,True,True,False,False,False,True,True,False,False,False,False,False,0.6,0.352,0.0,0.0,0.204333645454245,0.04743387101032254,-0.15689977444392247,0.0021161794662475364,0.0011224210262298362,0.15211617946624756,0.15112242102622986,0.3170151710510254,0.5540497303009033,0.3170151710510254,0.5540497303009033,0.0,0.0,0.0,0.7000055909156799,0.9485935568809509,0.2939503490924835,0.29996955394744873,7.884512106289646
0.5,6,run_g0.5_s6.npz,True,True,False,False,False,True,True,False,False,False,False,False,0.6875,0.2475,0.0,0.0,0.23232680932869798,0.01553406148542169,-0.2167927478432763,0.02318513989448545,0.021094417572021462,0.17318513989448547,0.17109441757202148,0.25528088212013245,0.47639358043670654,0.25528088212013245,0.47639358043670654,0.0,0.0,0.0,0.700005292892456,0.9069821834564209,0.2785595953464508,0.29997119307518005,8.65388764197083
0.5,7,run_g0.5_s7.npz,True,True,False,False,False,True,True,False,False,True,False,False,0.569620253164557,0.26962025316455696,0.0,0.0,0.22775203694386698,0.03032264346697605,-0.19742939347689092,0.002077794075012185,-0.0012528836727142556,0.1520777940750122,0.14874711632728577,0.2180580496788025,0.40755948424339294,0.2180580496788025,0.40755948424339294,0.0,0.0,0.0,0.7000058889389038,0.8543843626976013,0.28836727142333984,0.2991523742675781,8.488593145425483
0.5,10,run_g0.5_s10.npz,True,True,False,False,False,True,True,True,True,True,False,False,0.618421052631579,0.32763157894736844,0.0,0.0,0.25206390849473015,0.01936556741912754,-0.23269834107560264,-0.00321280360221865,-0.005846583843231223,0.14678719639778137,0.1441534161567688,0.29937848448753357,0.5198773145675659,0.29937848448753357,0.5198773145675659,0.0,0.0,0.0,0.7000060677528381,0.927718997001648,0.33175039291381836,0.29994431138038635,7.961623593100985
0.5,11,run_g0.5_s11.npz,True,True,False,False,False,True,True,True,True,True,False,False,0.6447368421052632,0.30526315789473685,0.0,0.0,0.19523593024454508,0.027107654969083794,-0.1681282752754613,-0.016428285837173484,-0.018250757455825828,0.13357171416282654,0.1317492425441742,0.24116623401641846,0.44478508830070496,0.24116623401641846,0.44478508830070496,0.0,0.0,0.0,0.700005829334259,0.9354416131973267,0.31676578521728516,0.2999492585659027,7.859014689789982
0.5,14,run_g0.5_s14.npz,True,True,False,False,False,True,True,True,True,True,False,False,0.618421052631579,0.27631578947368424,0.0,0.0,0.24685142277843386,0.03799769544316234,-0.20885372733527152,-0.019818538427352927,-0.02016817927360537,0.1301814615726471,0.12983182072639465,0.29764458537101746,0.5203587412834167,0.29764458537101746,0.5203587412834167,0.0,0.0,0.0,0.7000082731246948,0.9568517804145813,0.28641194105148315,0.29989346861839294,7.987196520483864
0.5,16,run_g0.5_s16.npz,True,True,False,False,False,True,True,True,True,True,False,False,0.6493506493506493,0.3,0.0,0.0,0.25692354583788896,0.05942904122241249,-0.19749450461547646,-0.03341826200485232,-0.0349475681781769,0.1165817379951477,0.11505243182182312,0.2631738483905792,0.47878342866897583,0.2631738483905792,0.47878342866897583,0.0,0.0,0.0,0.7000073790550232,0.9180972576141357,0.305420845746994,0.2999502122402191,8.168055908843304
0.5,19,run_g0.5_s19.npz,True,True,False,False,False,True,True,True,True,True,False,False,0.5569620253164557,0.2772151898734177,0.0,0.0,0.23966556144166393,0.021778170835755672,-0.21788739060590825,-0.004250669479370139,-0.006516540050506614,0.14574933052062988,0.1434834599494934,0.26085540652275085,0.47932547330856323,0.26085540652275085,0.47932547330856323,0.0,0.0,0.0,0.700006365776062,0.9072160720825195,0.28754618763923645,0.2999661862850189,8.342433017283062
0.5,20,run_g0.5_s20.npz,True,True,False,False,False,True,True,False,False,False,False,False,0.581081081081081,0.3054054054054054,0.0,0.0,0.22088759943629735,0.03345142355229658,-0.18743617588400077,0.011768943071365334,0.008296316862106301,0.16176894307136536,0.15829631686210632,0.31683459877967834,0.5588365793228149,0.31683459877967834,0.5588365793228149,0.0,0.0,0.0,0.7000073194503784,0.9586725831031799,0.2834990620613098,0.2999492287635803,7.930785349528867
