group,method,regime,gamma,episode,seed,status,route,source,row
not-paper-ready-cfmmppi,CFM-MPPI,balanced,1.0,3,271939,SUCCESS,LRL,trajectories/paper_ready_bowling_handoff.pt,11
not-paper-ready-cfmmppi,CFM-MPPI,performance,0.3,0,271828,COLLISION,,trajectories/paper_ready_bowling_handoff.pt,12
not-paper-ready-cfmmppi,CFM-MPPI,performance,0.3,1,271865,COLLISION,,trajectories/paper_ready_bowling_handoff.pt,13
not-paper-ready-cfmmppi,CFM-MPPI,performance,0.3,2,271902,COLLISION,,trajectories/paper_ready_bowling_handoff.pt,14
not-paper-ready-cfmmppi,CFM-MPPI,performance,0.3,3,271939,COLLISION,,trajectories/paper_ready_bowling_handoff.pt,15
not-paper-ready-cfmmppi,CFM-MPPI,performance,0.3,4,271976,COLLISION,,trajectories/paper_ready_bowling_handoff.pt,16
not-paper-ready-cfmmppi,CFM-MPPI,performance,0.3,5,272013,COLLISION,,trajectories/paper_ready_bowling_handoff.pt,17
not-paper-ready-cfmmppi,CFM-MPPI,performance,0.3,6,272050,COLLISION,,trajectories/paper_ready_bowling_handoff.pt,18
not-paper-ready-cfmmppi,CFM-MPPI,performance,0.3,7,272087,COLLISION,,trajectories/paper_ready_bowling_handoff.pt,19
not-paper-ready-cfmmppi,CFM-MPPI,performance,0.5,0,271828,COLLISION,,trajectories/paper_ready_bowling_handoff.pt,20
not-paper-ready-cfmmppi,CFM-MPPI,performance,0.5,1,271865,COLLISION,,trajectories/paper_ready_bowling_handoff.pt,21
not-paper-ready-cfmmppi,CFM-MPPI,performance,0.5,2,271902,COLLISION,,trajectories/paper_ready_bowling_handoff.pt,22
not-paper-ready-cfmmppi,CFM-MPPI,performance,0.5,3,271939,COLLISION,,trajectories/paper_ready_bowling_handoff.pt,23
not-paper-ready-cfmmppi,CFM-MPPI,performance,0.5,4,271976,COLLISION,,trajectories/paper_ready_bowling_handoff.pt,24
not-paper-ready-cfmmppi,CFM-MPPI,performance,0.5,5,272013,COLLISION,,trajectories/paper_ready_bowling_handoff.pt,25
not-paper-ready-cfmmppi,CFM-MPPI,performance,0.5,6,272050,COLLISION,,trajectories/paper_ready_bowling_handoff.pt,26
not-paper-ready-cfmmppi,CFM-MPPI,performance,0.5,7,272087,COLLISION,,trajectories/paper_ready_bowling_handoff.pt,27
not-paper-ready-cfmmppi,CFM-MPPI,performance,1.0,0,271828,COLLISION,,trajectories/paper_ready_bowling_handoff.pt,28
not-paper-ready-cfmmppi,CFM-MPPI,performance,1.0,1,271865,COLLISION,,trajectories/paper_ready_bowling_handoff.pt,29
not-paper-ready-cfmmppi,CFM-MPPI,performance,1.0,2,271902,COLLISION,,trajectories/paper_ready_bowling_handoff.pt,30
not-paper-ready-cfmmppi,CFM-MPPI,performance,1.0,3,271939,COLLISION,,trajectories/paper_ready_bowling_handoff.pt,31
not-paper-ready-cfmmppi,CFM-MPPI,performance,1.0,4,271976,COLLISION,,trajectories/paper_ready_bowling_handoff.pt,32
not-paper-ready-cfmmppi,CFM-MPPI,performance,1.0,5,272013,COLLISION,,trajectories/paper_ready_bowling_handoff.pt,33
not-paper-ready-cfmmppi,CFM-MPPI,performance,1.0,6,272050,COLLISION,,trajectories/paper_ready_bowling_handoff.pt,34
not-paper-ready-cfmmppi,CFM-MPPI,performance,1.0,7,272087,COLLISION,,trajectories/paper_ready_bowling_handoff.pt,35
not-paper-ready-cfmmppi,CFM-MPPI,safety,0.3,0,271828,SUCCESS,LRX,trajectories/paper_ready_bowling_handoff.pt,36
not-paper-ready-cfmmppi,CFM-MPPI,safety,0.3,1,271865,COLLISION,,trajectories/paper_ready_bowling_handoff.pt,37
not-paper-ready-cfmmppi,CFM-MPPI,safety,0.3,2,271902,COLLISION,,trajectories/paper_ready_bowling_handoff.pt,38
not-paper-ready-cfmmppi,CFM-MPPI,safety,0.3,3,271939,SUCCESS,RLR,trajectories/paper_ready_bowling_handoff.pt,39
not-paper-ready-cfmmppi,CFM-MPPI,safety,0.5,0,271828,SUCCESS,LRR,trajectories/paper_ready_bowling_handoff.pt,40
not-paper-ready-cfmmppi,CFM-MPPI,safety,0.5,1,271865,SUCCESS,RLR,trajectories/paper_ready_bowling_handoff.pt,41
not-paper-ready-cfmmppi,CFM-MPPI,safety,0.5,2,271902,COLLISION,,trajectories/paper_ready_bowling_handoff.pt,42
not-paper-ready-cfmmppi,CFM-MPPI,safety,0.5,3,271939,SUCCESS,XLR,trajectories/paper_ready_bowling_handoff.pt,43
not-paper-ready-cfmmppi,CFM-MPPI,safety,1.0,0,271828,SUCCESS,LXR,trajectories/paper_ready_bowling_handoff.pt,44
not-paper-ready-cfmmppi,CFM-MPPI,safety,1.0,1,271865,SUCCESS,RRL,trajectories/paper_ready_bowling_handoff.pt,45
not-paper-ready-cfmmppi,CFM-MPPI,safety,1.0,2,271902,COLLISION,,trajectories/paper_ready_bowling_handoff.pt,46
not-paper-ready-cfmmppi,CFM-MPPI,safety,1.0,3,271939,SUCCESS,XLR,trajectories/paper_ready_bowling_handoff.pt,47
legacy-pre2,PRE2,,0.1,0,92000,SUCCESS,LLL,trajectories/legacy_pre2_s4_site_rows.json,0
legacy-pre2,PRE2,,0.1,1,92037,SUCCESS,LLL,trajectories/legacy_pre2_s4_site_rows.json,1
legacy-pre2,PRE2,,0.1,2,92074,SUCCESS,LLL,trajectories/legacy_pre2_s4_site_rows.json,2
legacy-pre2,PRE2,,0.1,6,92222,SUCCESS,LLL,trajectories/legacy_pre2_s4_site_rows.json,3
legacy-pre2,PRE2,,0.1,7,92259,SUCCESS,LLL,trajectories/legacy_pre2_s4_site_rows.json,4
legacy-pre2,PRE2,,0.1,12,92444,SUCCESS,LLL,trajectories/legacy_pre2_s4_site_rows.json,5
legacy-pre2,PRE2,,0.1,13,92481,SUCCESS,LLL,trajectories/legacy_pre2_s4_site_rows.json,6
legacy-pre2,PRE2,,0.1,14,92518,SUCCESS,LLL,trajectories/legacy_pre2_s4_site_rows.json,7
legacy-pre2,PRE2,,0.1,18,92666,SUCCESS,LLL,trajectories/legacy_pre2_s4_site_rows.json,8
legacy-pre2,PRE2,,0.1,19,92703,SUCCESS,LLL,trajectories/legacy_pre2_s4_site_rows.json,9
legacy-pre2,PRE2,,0.1,21,92777,SUCCESS,LLL,trajectories/legacy_pre2_s4_site_rows.json,10
legacy-pre2,PRE2,,0.1,24,92888,SUCCESS,LLL,trajectories/legacy_pre2_s4_site_rows.json,11
legacy-pre2,PRE2,,0.1,30,93110,SUCCESS,LLL,trajectories/legacy_pre2_s4_site_rows.json,12
legacy-pre2,PRE2,,0.1,33,93221,SUCCESS,LLL,trajectories/legacy_pre2_s4_site_rows.json,13
legacy-pre2,PRE2,,0.1,37,93369,SUCCESS,LLL,trajectories/legacy_pre2_s4_site_rows.json,14
legacy-pre2,PRE2,,0.1,39,93443,SUCCESS,LLL,trajectories/legacy_pre2_s4_site_rows.json,15
legacy-pre2,PRE2,,0.1,45,93665,SUCCESS,LLL,trajectories/legacy_pre2_s4_site_rows.json,16
legacy-pre2,PRE2,,0.1,46,93702,SUCCESS,LLL,trajectories/legacy_pre2_s4_site_rows.json,17
legacy-pre2,PRE2,,0.1,47,93739,SUCCESS,LLL,trajectories/legacy_pre2_s4_site_rows.json,18
legacy-pre2,PRE2,,0.3,1,92037,SUCCESS,LLL,trajectories/legacy_pre2_s4_site_rows.json,19
legacy-pre2,PRE2,,0.3,2,92074,SUCCESS,LLL,trajectories/legacy_pre2_s4_site_rows.json,20
legacy-pre2,PRE2,,0.3,6,92222,SUCCESS,RRL,trajectories/legacy_pre2_s4_site_rows.json,21
legacy-pre2,PRE2,,0.3,11,92407,SUCCESS,LLL,trajectories/legacy_pre2_s4_site_rows.json,22
legacy-pre2,PRE2,,0.3,25,92925,SUCCESS,LLL,trajectories/legacy_pre2_s4_site_rows.json,23
legacy-pre2,PRE2,,0.3,37,93369,SUCCESS,LLL,trajectories/legacy_pre2_s4_site_rows.json,24
legacy-pre2,PRE2,,0.3,38,93406,SUCCESS,LLL,trajectories/legacy_pre2_s4_site_rows.json,25
legacy-pre2,PRE2,,0.3,40,93480,SUCCESS,LLL,trajectories/legacy_pre2_s4_site_rows.json,26
legacy-pre2,PRE2,,0.3,41,93517,SUCCESS,LLL,trajectories/legacy_pre2_s4_site_rows.json,27
legacy-pre2,PRE2,,0.3,42,93554,SUCCESS,LLL,trajectories/legacy_pre2_s4_site_rows.json,28
legacy-pre2,PRE2,,0.3,47,93739,SUCCESS,LLL,trajectories/legacy_pre2_s4_site_rows.json,29
legacy-pre2,PRE2,,0.5,6,92222,SUCCESS,LLL,trajectories/legacy_pre2_s4_site_rows.json,30
legacy-pre2,PRE2,,0.5,8,92296,SUCCESS,LLL,trajectories/legacy_pre2_s4_site_rows.json,31
legacy-pre2,PRE2,,0.5,11,92407,SUCCESS,LLL,trajectories/legacy_pre2_s4_site_rows.json,32
legacy-pre2,PRE2,,0.5,19,92703,SUCCESS,LLL,trajectories/legacy_pre2_s4_site_rows.json,33
legacy-pre2,PRE2,,0.5,20,92740,SUCCESS,LLL,trajectories/legacy_pre2_s4_site_rows.json,34
legacy-pre2,PRE2,,0.5,21,92777,SUCCESS,LLL,trajectories/legacy_pre2_s4_site_rows.json,35
legacy-pre2,PRE2,,0.5,26,92962,SUCCESS,LLL,trajectories/legacy_pre2_s4_site_rows.json,36
legacy-pre2,PRE2,,0.5,29,93073,SUCCESS,LLL,trajectories/legacy_pre2_s4_site_rows.json,37
legacy-pre2,PRE2,,0.5,30,93110,SUCCESS,LLL,trajectories/legacy_pre2_s4_site_rows.json,38
legacy-pre2,PRE2,,0.5,39,93443,SUCCESS,LLL,trajectories/legacy_pre2_s4_site_rows.json,39
legacy-pre2,PRE2,,0.5,43,93591,SUCCESS,LLR,trajectories/legacy_pre2_s4_site_rows.json,40
legacy-pre2,PRE2,,0.5,46,93702,SUCCESS,LLL,trajectories/legacy_pre2_s4_site_rows.json,41
